,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Sale Price,X Coordinate,Y Coordinate,Building Class Category,Address,Borough,Neighborhood
75,10469,1.6221198156682028,0.02534562211981567,1.6474654377880185,2802.4032258064517,1978.6935483870968,1949.7695852534562,1.0391705069124424,462291.6912442396,-73.84825662081822,40.86981671766414,01 One Family Dwellings                    ,3313 Wilson Avenue,Bronx,Baychester
76,10470,1.9504950495049505,0.1188118811881188,2.0594059405940595,2971.079207920792,2849.4851485148515,1936.5841584158416,1.5742574257425743,556094.9504950495,-73.86191801215324,40.89842089285473,01 One Family Dwellings                    ,4629 Furman Avenue,Bronx,Woodlawn
77,10471,2.808988764044944,0.052434456928838954,2.8614232209737827,2537.887640449438,3072.187265917603,1953.7153558052435,1.8389513108614233,473112.26217228465,-73.90298649195104,40.902438656552974,10 Coops - Elevator Apartments             ,4555 Henry Hudson Parkway,Bronx,Riverdale
78,10472,2.659217877094972,0.0893854748603352,2.7486033519553073,2557.078212290503,2877.072625698324,1935.022346368715,1.3463687150837989,496651.49720670393,-73.86874271592129,40.82979628861048,02 Two Family Dwellings                    ,1123 White Plains Road,Bronx,Soundview
79,10473,1.661596958174905,0.04182509505703422,1.703422053231939,2205.3498098859313,1792.8250950570343,1960.5247148288972,1.167300380228137,404936.8631178707,-73.85683975749788,40.81777568774457,02 Two Family Dwellings                    ,941 Wheeler,Bronx,Soundview
80,10474,1.7894736842105263,0.34210526315789475,2.1315789473684212,4766.973684210527,3858.2631578947367,1945.921052631579,1.9210526315789473,718989.0,-73.8873818396357,40.814048320651736,03 Three Family Dwellings                  ,613 Barretto Street,Bronx,Hunts Point
81,10475,1.4,0.16,1.56,3793.12,2289.12,1963.8,1.48,425761.72,-73.82729486378295,40.87772608825917,01 One Family Dwellings                    ,2309 Hunter Avenue,Bronx,Baychester
82,10803,1.0,0.0,1.0,2940.0,1420.0,1955.0,1.0,736000.0,-73.80717784326836,40.90398549264618,01 One Family Dwellings                    ,1450 Roosevelt Avenue,Bronx,City Island-Pelham Strip
83,11001,1.1162790697674418,0.0,1.1162790697674418,3631.2093023255816,1402.093023255814,1945.9302325581396,1.0,553001.8372093023,-73.70626098209816,40.72420871322771,01 One Family Dwellings                    ,84-28 260Th   Street,Queens,Floral Park
84,11004,1.335195530726257,0.0111731843575419,1.3463687150837989,3213.04469273743,1292.782122905028,1951.1117318435754,1.5810055865921788,440127.6536312849,-73.71225585575203,40.745153239875926,09 Coops - Walkup Apartments               ,"74-45 260Th Street, 33B7",Queens,Glen Oaks
85,11005,17.233644859813083,0.205607476635514,17.439252336448597,39516.82242990654,35052.009345794395,1972.0,2.0,568738.4953271028,-73.71393022943572,40.75281542310287,10 Coops - Elevator Apartments             ,26910 Grand Central Parkwa,Queens,Glen Oaks
